,,,,,Submission Delinquency Report
,Run Date:,,2023-01-03
,For:,,Year: 22, Period: 3, Week: 5
,Filter For all units

Sector,Unit #,Fiscal Year,Period,Week,UserName - Purchases,Date Purchases Submitted,Username - Sales,Date Sales Submitted,Data Entered (Y/N), Forced Submission
02,11242,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
02,11245,22,3,5,linda.bourne,12/26/2022 9:55:59 AM,linda.bourne,12/26/2022 9:56:07 AM,N,N
02,11246,22,3,5,linda.bourne,12/26/2022 9:58:45 AM,linda.bourne,12/26/2022 9:58:55 AM,N,N
02,11247,22,3,5,linda.bourne,12/26/2022 10:01:13 AM,linda.bourne,12/26/2022 10:01:20 AM,N,N
02,11249,22,3,5,linda.bourne,12/26/2022 10:09:05 AM,linda.bourne,12/26/2022 10:09:13 AM,N,N
02,11251,22,3,5,linda.bourne,12/26/2022 10:11:14 AM,linda.bourne,12/26/2022 10:11:21 AM,N,N
02,11252,22,3,5,linda.bourne,12/26/2022 10:14:57 AM,linda.bourne,12/26/2022 10:15:06 AM,N,N
02,11253,22,3,5,linda.bourne,12/26/2022 10:17:27 AM,linda.bourne,12/26/2022 10:17:33 AM,N,N
02,11254,22,3,5,linda.bourne,12/26/2022 10:19:35 AM,linda.bourne,12/26/2022 10:19:43 AM,N,N
02,11310,22,3,5,,1/1/1900 12:00:00 AM,,1/1/1900 12:00:00 AM,N,N
